experiment_start,2025-05-28 09:12:14
frame,label,fps,infer_time_ms,confidence,cpu_percent,ram_percent
246,ladle,6.46,105.60,0.0636,51.9,23.9
247,ladle,6.46,91.76,0.0819,51.7,24.0
248,ladle,6.46,86.16,0.0808,52.8,24.5
249,ladle,6.45,93.34,0.0607,54.2,24.1
250,cleaver,6.44,100.38,0.0417,50.8,24.1
251,toilet tissue,6.44,98.99,0.0580,54.5,24.5
252,lighter,6.54,84.31,0.0873,54.3,24.4
253,sunscreen,6.53,108.56,0.0555,51.5,24.4
254,lipstick,6.54,95.44,0.0852,54.2,24.4
255,vacuum,6.54,104.43,0.0910,51.6,24.4
256,pill bottle,6.53,137.77,0.2060,53.4,24.5
257,pencil sharpener,6.54,79.85,0.0938,53.7,24.5
258,pencil sharpener,6.54,76.32,0.0961,52.0,24.4
259,pencil sharpener,6.55,68.75,0.0603,53.8,24.4
260,pencil sharpener,6.56,66.26,0.0907,52.0,24.4
261,pencil sharpener,6.55,68.56,0.1079,51.2,23.9
262,vacuum,6.56,73.37,0.0943,55.9,24.4
263,pencil sharpener,6.56,76.03,0.1384,54.8,23.9
264,pencil sharpener,6.57,65.17,0.0636,55.9,24.6
265,pencil sharpener,6.58,75.41,0.1258,55.4,24.4
266,pencil sharpener,6.58,77.86,0.1415,50.3,24.2
267,sunscreen,6.59,82.96,0.0985,55.0,24.7
268,sunscreen,6.60,64.48,0.1031,53.1,24.6
269,sunscreen,6.60,68.70,0.1189,53.8,24.7
270,sunscreen,6.61,66.56,0.1381,53.5,24.7
271,sunscreen,6.62,57.01,0.1159,53.7,24.0
272,sunscreen,6.63,66.29,0.1101,53.3,24.1
273,sunscreen,6.63,72.66,0.0986,52.1,24.6
274,sunscreen,6.63,72.77,0.1429,55.2,24.6
275,sunscreen,6.62,111.67,0.1311,50.4,24.1
276,sunscreen,6.62,92.20,0.1469,51.1,24.1
277,sunscreen,6.62,79.25,0.1518,53.4,24.4
278,sunscreen,6.63,86.80,0.1286,57.6,24.5
279,sunscreen,6.63,85.45,0.1676,56.4,24.6
280,lotion,6.63,81.48,0.1272,54.0,24.6
281,sunscreen,6.63,84.82,0.1054,53.1,24.6
282,sunscreen,6.63,89.67,0.1272,52.2,24.0
283,sunscreen,6.62,87.21,0.1213,51.0,23.8
284,sunscreen,6.63,80.46,0.1790,52.0,24.4
285,sunscreen,6.63,74.19,0.1937,54.0,24.4
286,sunscreen,6.63,90.32,0.1810,51.9,23.9
287,sunscreen,6.62,90.70,0.1661,51.9,24.1
288,sunscreen,6.62,86.46,0.1685,50.6,24.1
289,sunscreen,6.61,116.88,0.1620,50.9,24.0
290,sunscreen,6.61,92.46,0.1775,55.0,24.0
291,sunscreen,6.61,91.37,0.1861,52.4,24.0
292,sunscreen,6.62,81.92,0.1685,54.8,24.4
293,sunscreen,6.62,96.84,0.1650,57.6,24.5
294,sunscreen,6.62,81.79,0.1799,55.8,24.5
295,sunscreen,6.62,90.47,0.1565,52.8,24.6
296,sunscreen,6.62,95.63,0.1738,53.4,24.3
297,sunscreen,6.62,87.31,0.1702,51.7,24.4
298,sunscreen,6.62,110.06,0.1715,53.1,24.4
299,sunscreen,6.62,89.05,0.1678,52.7,24.4
300,sunscreen,6.62,129.80,0.1577,55.4,24.5
301,sunscreen,6.62,104.95,0.1566,53.8,24.0
302,sunscreen,6.62,85.10,0.1695,52.9,24.4
303,sunscreen,6.62,78.73,0.1759,53.8,24.4
304,sunscreen,6.63,77.56,0.1838,53.7,24.4
305,sunscreen,6.63,86.83,0.1519,54.1,24.6
306,sunscreen,6.63,86.03,0.1812,52.3,24.3
307,sunscreen,6.64,92.18,0.1572,56.5,24.4
308,sunscreen,6.63,97.75,0.1731,58.5,24.4
309,sunscreen,6.64,93.04,0.1664,53.4,24.4
310,sunscreen,6.64,108.77,0.1820,53.6,24.5
311,sunscreen,6.64,83.32,0.1635,53.5,24.5
312,sunscreen,6.64,98.66,0.1591,52.7,24.4
313,sunscreen,6.64,85.20,0.1531,53.9,24.3
314,sunscreen,6.65,85.08,0.1742,54.6,23.9
315,sunscreen,6.65,90.01,0.1785,53.1,24.0
316,sunscreen,6.66,70.40,0.1691,56.6,24.4
317,sunscreen,6.66,85.09,0.1620,53.2,24.4
318,sunscreen,6.66,92.56,0.1661,53.8,23.9
319,sunscreen,6.66,105.13,0.1558,52.5,24.2
320,sunscreen,6.66,96.77,0.1703,53.9,24.1
321,sunscreen,6.63,93.39,0.1580,45.7,24.0
322,sunscreen,6.61,82.31,0.1717,48.4,24.0
323,sunscreen,6.62,91.11,0.1508,54.1,24.0
324,sunscreen,6.61,79.38,0.1579,50.0,24.0
325,sunscreen,6.60,80.09,0.1697,51.5,24.0
326,sunscreen,6.61,76.71,0.1469,52.7,24.4
327,sunscreen,6.60,63.03,0.1630,48.0,24.1
328,sunscreen,6.60,100.15,0.1652,52.7,24.1
329,sunscreen,6.59,86.32,0.1683,52.3,24.1
330,sunscreen,6.58,80.59,0.1587,49.3,23.9
331,sunscreen,6.58,93.20,0.1605,52.9,23.9
332,sunscreen,6.58,112.36,0.1823,52.3,24.0
333,sunscreen,6.58,103.62,0.1352,55.1,24.1
334,sunscreen,6.58,69.82,0.1788,54.7,24.5
335,pill bottle,6.58,72.86,0.0910,50.2,23.9
336,Band Aid,6.59,61.94,0.0477,51.5,24.1
337,ladle,6.58,74.49,0.1034,50.0,24.1
338,ladle,6.58,52.99,0.1004,49.6,24.1
339,ladle,6.58,82.45,0.0911,50.0,24.1
340,ladle,6.57,101.39,0.0943,51.2,24.1
341,ladle,6.57,110.41,0.0861,52.1,24.0
342,ladle,6.57,91.06,0.0797,50.8,24.1
343,ladle,6.57,89.29,0.0907,55.3,24.1
344,ladle,6.57,89.17,0.0689,51.6,24.0
345,ladle,6.56,99.59,0.0636,53.4,23.8
346,ladle,6.56,97.75,0.0706,53.3,23.9
347,ladle,6.55,78.97,0.0628,49.9,23.9
348,ladle,6.54,124.88,0.0648,51.1,23.9
349,ladle,6.54,100.36,0.0723,51.4,24.0
350,ladle,6.54,106.59,0.0598,51.1,23.9
351,ladle,6.54,99.63,0.0413,52.3,24.0
352,toilet tissue,6.54,109.80,0.0716,51.7,24.0
353,toilet tissue,6.54,90.53,0.0582,53.1,24.5
354,thunder snake,6.53,85.05,0.0378,49.2,24.0
355,pill bottle,6.53,99.98,0.2634,53.2,24.0
356,remote control,6.53,105.41,0.2029,52.3,24.0
357,remote control,6.52,116.88,0.2283,56.5,24.0
358,remote control,6.52,102.33,0.3207,55.5,24.5
359,remote control,6.52,94.79,0.3642,52.4,24.5
360,remote control,6.53,106.99,0.3941,52.6,24.5
361,remote control,6.53,67.75,0.3885,53.8,24.5
362,remote control,6.53,81.95,0.2342,53.1,24.4
363,remote control,6.54,80.66,0.2265,56.0,24.0
364,remote control,6.53,120.02,0.2416,53.8,24.2
365,remote control,6.54,89.19,0.2901,53.4,24.5
366,remote control,6.54,95.13,0.3379,52.7,24.5
367,remote control,6.54,86.37,0.2699,54.9,24.5
368,remote control,6.54,97.18,0.2718,56.4,24.5
369,remote control,6.54,121.61,0.4197,54.1,24.5
370,remote control,6.54,111.79,0.4237,55.7,24.5
371,remote control,6.55,89.87,0.4206,54.0,24.5
372,remote control,6.55,111.13,0.3949,59.4,24.5
373,remote control,6.55,81.15,0.3736,56.5,24.5
374,remote control,6.55,88.60,0.3762,57.3,24.6
375,remote control,6.55,90.08,0.3519,54.1,24.4
376,remote control,6.56,85.54,0.3927,53.3,24.3
377,remote control,6.56,75.28,0.3924,56.1,24.1
378,remote control,6.56,72.92,0.3977,55.8,24.6
379,remote control,6.57,89.03,0.4151,53.4,24.6
380,remote control,6.57,83.29,0.3991,55.4,24.7
381,remote control,6.57,89.74,0.3741,56.4,24.5
382,remote control,6.57,98.81,0.3628,53.9,24.5
383,remote control,6.57,99.59,0.3722,55.6,24.2
384,remote control,6.58,57.49,0.3481,55.3,24.2
385,remote control,6.59,48.90,0.3234,55.1,24.5
386,cellular telephone,6.60,54.82,0.1788,53.5,24.5
387,remote control,6.60,59.24,0.3285,55.1,24.6
388,remote control,6.61,53.68,0.3377,57.8,24.5
389,remote control,6.62,55.08,0.3966,55.9,24.3
390,remote control,6.63,57.91,0.3692,61.7,24.1
391,remote control,6.63,57.48,0.3608,58.0,24.6
392,remote control,6.64,63.70,0.3349,52.9,24.6
393,remote control,6.65,59.55,0.3268,55.2,24.6
394,remote control,6.65,61.91,0.3103,52.4,24.6
395,remote control,6.66,62.11,0.3174,55.5,24.6
396,remote control,6.66,71.70,0.3090,56.1,24.5
397,remote control,6.67,51.09,0.3482,54.4,24.6
398,remote control,6.68,58.28,0.3478,53.6,24.5
399,remote control,6.68,62.35,0.3134,51.7,24.5
400,remote control,6.69,95.07,0.3315,54.3,24.3
401,remote control,6.69,88.15,0.3672,54.1,24.2
402,remote control,6.69,93.19,0.3549,51.6,24.1
403,remote control,6.69,102.77,0.3378,55.1,24.1
404,remote control,6.68,146.57,0.3488,52.4,24.2
405,remote control,6.68,100.59,0.3619,54.6,24.1
406,remote control,6.69,81.55,0.3886,51.8,24.5
407,remote control,6.69,96.58,0.3683,58.4,24.6
408,remote control,6.69,108.88,0.3787,59.4,24.5
409,remote control,6.68,134.21,0.3635,53.0,24.5
410,remote control,6.68,122.98,0.3329,53.8,24.5
411,remote control,6.68,95.07,0.3363,54.6,24.5
412,remote control,6.68,96.38,0.3831,54.1,24.6
413,remote control,6.68,96.25,0.3723,53.4,24.5
414,remote control,6.68,93.48,0.3554,54.3,24.5
415,remote control,6.69,81.10,0.3830,53.1,24.5
416,remote control,6.69,84.19,0.3054,54.5,24.1
417,remote control,6.69,87.67,0.3122,53.3,24.5
418,remote control,6.69,81.48,0.3524,53.4,24.5
419,remote control,6.70,91.23,0.3405,54.5,24.5
420,remote control,6.70,94.30,0.3235,52.4,24.6
421,remote control,6.70,82.77,0.3122,56.6,24.5
422,remote control,6.70,97.89,0.3540,54.8,24.7
423,remote control,6.70,97.75,0.3268,56.1,24.6
424,remote control,6.70,113.47,0.3587,55.5,24.6
425,remote control,6.70,88.78,0.3498,54.3,24.6
426,remote control,6.70,97.57,0.3595,56.7,24.6
427,remote control,6.71,84.43,0.3497,56.1,24.5
428,remote control,6.71,99.56,0.3239,52.9,24.4
429,remote control,6.71,96.37,0.3136,53.4,24.4
430,remote control,6.71,92.47,0.3281,53.7,24.4
431,remote control,6.71,86.78,0.2968,53.5,24.6
432,remote control,6.71,97.35,0.3196,53.8,24.6
433,remote control,6.71,91.56,0.3057,57.3,24.5
434,remote control,6.72,85.99,0.3027,52.0,24.5
435,remote control,6.72,85.45,0.3228,54.9,24.5
436,remote control,6.72,86.90,0.3138,53.9,24.5
437,remote control,6.72,108.42,0.3083,54.8,24.5
438,remote control,6.72,95.94,0.3600,57.1,24.5
439,remote control,6.72,98.90,0.2639,52.9,24.6
440,remote control,6.72,94.46,0.2556,53.2,24.4
441,remote control,6.72,115.88,0.2071,53.3,24.7
442,remote control,6.72,114.45,0.2954,54.7,24.7
443,remote control,6.72,101.76,0.1866,52.2,24.7
444,remote control,6.71,127.61,0.2070,53.9,24.4
445,remote control,6.71,112.32,0.2891,54.1,24.4
446,remote control,6.71,95.22,0.3516,53.5,24.4
447,remote control,6.71,90.32,0.2046,54.1,24.5
448,remote control,6.72,82.64,0.1961,54.6,24.7
449,remote control,6.72,98.76,0.4461,53.5,24.5
experiment_end,2025-05-28 09:13:23
average,,6.57,90.4,0.200,53.4,24.3
